id,name,siruta,country_id/id,zone_id/id,state_id/id
RO_12224,Şepreuş,12224,base.ro,RO_V,l10n_ro.RO_AR
RO_12242,Şicula,12242,base.ro,RO_V,l10n_ro.RO_AR
RO_12288,Şilindia,12288,base.ro,RO_V,l10n_ro.RO_AR
RO_12340,Şimand,12340,base.ro,RO_V,l10n_ro.RO_AR
RO_12055,"Sintea Mare",12055,base.ro,RO_V,l10n_ro.RO_AR
RO_12368,Şiria,12368,base.ro,RO_V,l10n_ro.RO_AR
RO_12402,Şiştarovăţ,12402,base.ro,RO_V,l10n_ro.RO_AR
RO_12126,Socodor,12126,base.ro,RO_V,l10n_ro.RO_AR
RO_9360,Şofronea,9360,base.ro,RO_V,l10n_ro.RO_AR
RO_12509,Târnova,12509,base.ro,RO_V,l10n_ro.RO_AR
RO_12457,Tauţ,12457,base.ro,RO_V,l10n_ro.RO_AR
RO_10765,Ususău,10765,base.ro,RO_V,l10n_ro.RO_AR
RO_12572,"Vărădia De Mureş",12572,base.ro,RO_V,l10n_ro.RO_AR
RO_12689,Vârfurile,12689,base.ro,RO_V,l10n_ro.RO_AR
RO_12643,Vinga,12643,base.ro,RO_V,l10n_ro.RO_AR
RO_9397,Vladimirescu,9397,base.ro,RO_V,l10n_ro.RO_AR
RO_12778,Zăbrani,12778,base.ro,RO_V,l10n_ro.RO_AR
RO_12938,Zădăreni,12938,base.ro,RO_V,l10n_ro.RO_AR
RO_12812,Zărand,12812,base.ro,RO_V,l10n_ro.RO_AR
RO_12849,Zerind,12849,base.ro,RO_V,l10n_ro.RO_AR
RO_12876,"Zimandu Nou",12876,base.ro,RO_V,l10n_ro.RO_AR
RO_13819,"Albeştii De Argeş",13819,base.ro,RO_SM,l10n_ro.RO_AG
RO_13891,"Albeştii De Muscel",13891,base.ro,RO_SM,l10n_ro.RO_AG
RO_13935,Albota,13935,base.ro,RO_SM,l10n_ro.RO_AG
RO_13999,Aninoasa,13999,base.ro,RO_SM,l10n_ro.RO_AG
RO_14049,Arefu,14049,base.ro,RO_SM,l10n_ro.RO_AG
