id,name,state
hr_job_romania_121205,121205 - Sef Serviciu Resurse Umane,open
hr_job_romania_121206,121206 - Sef Serviciu Evaluarea Resurselor De Munca,open
hr_job_romania_121207,121207 - Manager Resurse Umane,open
hr_job_romania_121208,121208 - Sef Centru Perfectionare,open
hr_job_romania_121301,"121301 - Sef Birou Organizatie Politica, Obsteasca, Umanitara",open
hr_job_romania_121302,"121302 - Sef Serviciu Organizatie Politica, Obsteasca, Umanitara",open
hr_job_romania_121303,121303 - Inspector Protectie Civila,open
hr_job_romania_121304,121304 - Sef Executiv Audit Intern,open
hr_job_romania_121305,121305 - Sef Obiectiv Servicii De Securitate,open
hr_job_romania_121306,121306 - Manager De Securitate,open
hr_job_romania_121307,121307 - Manager Energetic,open
hr_job_romania_121308,121308 - Manager Informatii Pentru Afaceri,open
hr_job_romania_121901,121901 - Sef Serviciu,open
hr_job_romania_121902,121902 - Sef Atelier,open
hr_job_romania_121903,121903 - Sef Sectie,open
hr_job_romania_121904,121904 - Sef Birou,open
hr_job_romania_121905,121905 - Procuror Sef Birou/Serviciu,open
hr_job_romania_121906,121906 - Sef Birou/Serviciu Administrativ,open
hr_job_romania_121907,121907 - Registrator Coordonator,open
hr_job_romania_121908,121908 - Registrator-Sef,open
hr_job_romania_121909,"121909 - Grefier-Sef (Judecatorie, Parchet)",open
hr_job_romania_121910,"121910 - Grefier-Sef De Sectie (Curte De Apel, Tribunal, Parchete)",open
hr_job_romania_121911,121911 - Prim-Grefier,open
hr_job_romania_121912,121912 - Sef Laborator Criminalistica,open
hr_job_romania_122101,122101 - Sef Serviciu Marketing,open
hr_job_romania_122102,122102 - Sef Birou Marketing,open
hr_job_romania_122103,122103 - Sef Licitatie,open
hr_job_romania_122104,122104 - Director Operatii Tranzactii,open
hr_job_romania_122105,122105 - Sef Casa Compensatie,open
hr_job_romania_122106,122106 - Sef Agentie Bursiera,open
hr_job_romania_122107,"122107 - Manager Marketing (Tarife, Contracte, Achizitii)",open
hr_job_romania_122108,"122108 - Conducator Firma Mica - Patron (Girant) In Afaceri, Intermedieri Si Alte Servicii Comerciale",open
hr_job_romania_122201,122201 - Sef Agentie Reclama Publicitara,open
hr_job_romania_122202,122202 - Sef Birou Reclama Publicitara,open
hr_job_romania_122203,122203 - Sef Serviciu Reclama Publicitara,open
hr_job_romania_122301,122301 - Arhitect-Sef,open
hr_job_romania_122302,122302 - Geolog-Sef,open
hr_job_romania_122303,122303 - Secretar Stiintific,open
hr_job_romania_122304,122304 - Sef Formatie Lucrari Geologice,open
hr_job_romania_122305,122305 - Sef Formatie Cercetare-Dezvoltare,open
hr_job_romania_122306,122306 - Meteorolog-Sef,open
hr_job_romania_122307,122307 - Director Filiala Cercetare-Proiectare,open
hr_job_romania_122308,"122308 - Sef Atelier Editie, Multiplicare, Expeditie",open
hr_job_romania_122309,122309 - Sef Proiect Cercetare-Proiectare,open
hr_job_romania_122310,122310 - Sef Sectie Cercetare-Proiectare,open
hr_job_romania_122311,122311 - Sef Atelier Cercetare-Proiectare,open
hr_job_romania_122312,122312 - Responsabil Cte (Control Tehnic-Economic) In Cercetare-Proiectare,open
hr_job_romania_122313,122313 - Director Proiect,open
hr_job_romania_122314,122314 - Sef Proiect/Program,open
hr_job_romania_122315,122315 - Inspector-Sef Inspectia Meteorologica Nationala,open
hr_job_romania_131101,131101 - Hidrometeorolog-Sef,open
hr_job_romania_131102,131102 - Inginer-Sef Agricultura Si Silvicultura,open
hr_job_romania_131104,131104 - Medic Veterinar Sef,open
hr_job_romania_131105,131105 - Sef Centru Protectia Plantelor Si Mediului,open
hr_job_romania_131106,131106 - Sef Centru Reproductia Si Selectia Animalelor,open
hr_job_romania_131107,"131107 - Sef District, Centru, Ocol Silvic",open
hr_job_romania_131108,131108 - Sef Circumscriptie Sanitar-Veterinara Si Control Al Alimentelor,open
hr_job_romania_131109,131109 - Sef Complex Zootehnic,open
hr_job_romania_131110,131110 - Sef Fazanerie,open
hr_job_romania_131111,131111 - Sef Ferma Agricola (Agrozootehnica),open
hr_job_romania_131112,131112 - Sef Laborator Analize Pedologice,open
hr_job_romania_131113,131113 - Sef Oficiu Cadastru,open
hr_job_romania_131114,131114 - Sef Parchet,open
hr_job_romania_131115,"131115 - Sef Pepiniera Silvicola, Pomicola, Viticola",open
hr_job_romania_131116,"131116 - Sef Statie Hidrologica, Meteorologica Si Incubatie",open
hr_job_romania_131117,"131117 - Sef Statie Productie, Exploatare, Intretinere In Agricultura",open
hr_job_romania_131118,131118 - Sef Statie Vinificatie,open
hr_job_romania_131119,131119 - Sef Statie Lucrari De Irigatie Si Ameliorare A Solului,open
hr_job_romania_131120,131120 - Inspector Veterinar Sef,open
hr_job_romania_131121,131121 - Sef Sectie Mecanizare,open
hr_job_romania_131122,131122 - Conducator Intreprindere Mica - Patron (Girant) In Agricultura Si Silvicultura,open
hr_job_romania_131201,131201 - Sef Pastravarie,open
hr_job_romania_131202,131202 - Inginer-Sef Piscicultura Si Vanatoare,open
hr_job_romania_131203,131203 - Conducator Intreprindere Mica - Patron (Girant) In Piscicultura Si Vanatoare,open
hr_job_romania_132101,132101 - Inginer-Sef Industria Prelucratoare,open
hr_job_romania_132102,132102 - Sef Atelier Industria Prelucratoare,open
hr_job_romania_132103,132103 - Sef Sector Industria Prelucratoare,open
hr_job_romania_132104,132104 - Sef Laborator In Industria Prelucratoare,open
hr_job_romania_132105,132105 - Sef Modul In Industria Prelucratoare,open
hr_job_romania_132106,132106 - Sef Sectie Industrie Prelucratoare,open
hr_job_romania_132107,132107 - Sef Serviciu Industrie Prelucratoare,open
hr_job_romania_132108,132108 - Sef Birou Industrie Prelucratoare,open
hr_job_romania_132109,132109 - Manager Securitate Instalatii Industria Prelucratoare,open
hr_job_romania_132110,132110 - Conducator Intreprindere Mica - Patron (Girant) Industrie Prelucratoare,open
hr_job_romania_132201,132201 - Inginer-Sef Industria Extractiva,open
hr_job_romania_132202,132202 - Sef Atelier Industria Extractiva,open
hr_job_romania_132203,132203 - Sef Sector Industria Extractiva,open
hr_job_romania_132204,132204 - Sef Modul In Industria Extractiva,open
hr_job_romania_132205,132205 - Sef Sectie Industrie Extractiva,open
hr_job_romania_132206,132206 - Sef Serviciu Industrie Extractiva,open
hr_job_romania_132207,132207 - Sef Birou Industrie Extractiva,open
hr_job_romania_132208,132208 - Manager Securitate Instalatii Industria Extractiva,open
hr_job_romania_132209,132209 - Conducator Intreprindere Mica - Patron (Girant) Industrie Extractiva,open
hr_job_romania_132210,132210 - Inginer-Sef Exploatare Nucleara,open
hr_job_romania_132211,132211 - Inginer-Sef Radioprotectie,open
hr_job_romania_132212,132212 - Sef Unitati Miniere,open
hr_job_romania_132213,132213 - Sef Brigada Exploatare Miniera,open
