id,code,risk_class,risk_rate,name
res_company_caen_3212,3212,1,0.15,Fabricarea bijuteriilor si articolelor similare din metale si pietre pretioase
res_company_caen_3213,3213,1,0.15,Fabricarea imitatiilor de bijuterii si articole similare
res_company_caen_3220,3220,6.5,352,Fabricarea instrumentelor muzicale
res_company_caen_3230,3230,1.5,168,Fabricarea articolelor pentru sport
res_company_caen_3240,3240,1.25,159,Fabricarea jocurilor si jucariilor
res_company_caen_3250,3250,2,187,"Fabricarea de dispozitive, aparate si instrumente medicale stomatologice"
res_company_caen_3291,3291,4.5,279,Fabricarea maturilor si periilor
res_company_caen_3299,3299,4,0.26,Fabricarea altor produse manufacturiere n.c.a.
res_company_caen_3311,3311,2.5,205,Repararea articolelor fabricate din metal
res_company_caen_3312,3312,7.75,398,Repararea masinilor
res_company_caen_3313,3313,2.25,196,Repararea echipamentelor electronice si optice
res_company_caen_3314,3314,3.75,251,Repararea echipamentelor electrice
res_company_caen_3315,3315,5.5,316,Repararea si intretinerea navelor si barcilor
res_company_caen_3316,3316,4.5,279,Repararea si intretinerea aeronavelor si navelor spatiale
res_company_caen_3317,3317,6,334,Repararea si intretinerea altor echipamente de transport n.c.a.
res_company_caen_3319,3319,7.75,398,Repararea altor echipamente
res_company_caen_3320,3320,3.25,233,Instalarea masinilor si echipamentelor industriale
res_company_caen_3511,3511,7,371,Productia de energie electrica
res_company_caen_3512,3512,2,187,Transportul energiei electrice
res_company_caen_3513,3513,3,224,Distributia energiei electrice
res_company_caen_3514,3514,2.5,205,Comercializarea energiei electrice
res_company_caen_3521,3521,2,187,Productia gazelor
res_company_caen_3522,3522,3.25,233,"Distributia combustibililor gazosi, prin conducte"
res_company_caen_3523,3523,1.75,178,"Comercializerea combustibililor gazosi, prin conducte"
res_company_caen_3530,3530,5.25,306,Furnizarea de abur si aer conditionat
res_company_caen_3600,3600,2.75,214,"Captarea, tratarea si distributia apei"
res_company_caen_3700,3700,2.75,214,Colectarea si epurarea apelor uzate
res_company_caen_3811,3811,4.5,279,Colectarea deseurilor nepericuloase
res_company_caen_3812,3812,4.75,288,Colectarea deseurilor periculoase
res_company_caen_3821,3821,2,187,Tratarea si eliminarea deseurilor nepericuloase
res_company_caen_3822,3822,8,408,Tratarea si eliminarea deseurilor periculoase
res_company_caen_3831,3831,3.5,242,Demontarea (dezasamblarea)masinilor si a echipamentelor scoase din uz pentru recuperarea materialelor
res_company_caen_3832,3832,4.25,0.27,Recuperarea materialelor reciclabile sortate
res_company_caen_3900,3900,4.5,279,Activitati si servicii de decontaminare
res_company_caen_4110,4110,3.25,233,Dezvoltare (promovare) imobiliara
res_company_caen_4120,4120,4.25,0.27,Lucrari de constructii a cladirilor rezidentiale si nerezidentiale
res_company_caen_4211,4211,3.75,251,Lucrari de constructii a drumurilor si autostrazilor
res_company_caen_4212,4212,5.75,325,Lucrari de constructii a cailor ferate de suprafata si subterane
res_company_caen_4213,4213,9.5,463,Constructia de poduri si tuneluri
res_company_caen_4221,4221,5.75,325,Lucrari de constructii a proiectelor utilitare pentru fluide
res_company_caen_4222,4222,4,0.26,Lucrari de constructii a proiectelor utilitare pentru electricitate si telecomunicatii
res_company_caen_4291,4291,6,334,Constructii hidrotehnice
res_company_caen_4299,4299,3,224,Lucrari de constructii a altor proiecte ingineresti n.c.a.
res_company_caen_4311,4311,4.25,0.27,Lucrari de demolare a constructiilor
res_company_caen_4312,4312,4.75,288,Lucrari de pregatire a terenului
res_company_caen_4313,4313,4.5,279,Lucrari de foraj si sondaj pentru constructii
res_company_caen_4321,4321,4,0.26,Lucrari de instalatii electrice
res_company_caen_4322,4322,4,0.26,"Lucrari de instalatii sanitare, de incalzire si de aer conditionat"
res_company_caen_4329,4329,2.75,214,Alte lucrari de instalatii pentru constructii
res_company_caen_4331,4331,1.75,178,Lucrari de ipsoserie
res_company_caen_4332,4332,3,224,Lucrari de tamplarie si dulgherie
res_company_caen_4333,4333,4,0.26,Lucrari de pardosire si placare a peretilor
res_company_caen_4334,4334,2.25,196,"Lucrari de vopsitorie, zugraveli si montari de geamuri"
res_company_caen_4339,4339,4,0.26,Alte lucrari de finisare
res_company_caen_4391,4391,3.25,233,"Lucrari de invelitori, sarpante si terase la constructii"
res_company_caen_4399,4399,4.25,0.27,Alte lucrari speciale de constructii n.c.a.
res_company_caen_4511,4511,2.25,196,"Comert cu autoturisme si autovehicule usoare (sub 3,5 tone)"
res_company_caen_4519,4519,1.25,159,Comert cu alte autovehicule
res_company_caen_4520,4520,3,224,intretinerea si repararea autovehiculelor
res_company_caen_4531,4531,2,187,Comert cu ridicata de piese si accesorii pentru autovehicule
res_company_caen_4532,4532,1.75,178,Comert cu amanuntul de piese si accesorii pt autovehicule
res_company_caen_4540,4540,1,0.15,"Comert cu motociclete,piese si acces.aferente,intret.si repararea motocicletelor"
res_company_caen_4611,4611,2.75,214,"Intermedieri in comertul cu materii prime agricole, animale vii,materii prime textile si cu semifabricate"
res_company_caen_4612,4612,1,0.15,"Intermed.in comertul cu combustib.,minereuri,metale si prod.chimice pentru ind."
res_company_caen_4613,4613,4.5,279,Intermedieri in comertul cu material lemnos si materiale de constructii
res_company_caen_4614,4614,3,224,"Intermedieri in comertul cu masini, echipamente industriale nave si avioane"
res_company_caen_4615,4615,1,0.15,"Intermedieri in comertul cu mobila, articole de menaj si de fierarie"
res_company_caen_4616,4616,1.25,159,"Intermed.in comertul cu textile, confectii din blana, incaltaminte si art. din piele"
res_company_caen_4617,4617,1.25,159,"Intermedieri in comertul cu produse alimentare, bauturi si tutun"
res_company_caen_4618,4618,1.75,178,"Intermedieri in comertul specializat in vanzarea prod. cu caracter specific, n.c.a."
res_company_caen_4619,4619,1.75,178,Intermedieri in comertul cu produse diverse
res_company_caen_4621,4621,2.75,214,"Comert cu ridicata al cerealelor, semintelor, furajelor si tutunului neprelucrat"
res_company_caen_4622,4622,1.5,168,Comert cu ridicata al florilor si al plantelor
res_company_caen_4623,4623,1,0.15,Comert cu ridicata al animalelor vii
res_company_caen_4624,4624,1.75,178,"Comert cu ridicata la blanurilor, pieilor brute si al pieilor prelucrate"
res_company_caen_4631,4631,2.25,196,Comert cu ridicata al fructelor si al legumelor
res_company_caen_4632,4632,3.25,233,Comert cu ridicata al carnii si produselor din carne
